" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0027333","nm0500837","Love or a Kingdom","Barbara Radziwillówna","1936","Drama,History,Romance"
"tt0027338","nm0951492","The Macabre Trunk","El baúl macabro","1936","Horror,Mystery,Sci-Fi"
"tt0027399","nm0005847","Brilliant Marriage","Brilliant Marriage","1936","Drama"
"tt0027405","nm0311174","The Little Pastry Shop","Budai cukrászda","1935","Comedy,Drama,Romance"
"tt0027414","nm0809467","California Mail","California Mail","1936","Western"
"tt0027415","nm0107854","Call of the Prairie","Call of the Prairie","1936","Western"
"tt0027424","nm0345997","Carne de fieras","Carne de fieras","1936","Drama"
"tt0027441","nm0401680","Charlie Chan at the Race Track","Charlie Chan at the Race Track","1936","Comedy,Crime,Mystery"
"tt0027478","nm0719756","The Crime of Monsieur Lange","Le crime de Monsieur Lange","1936","Comedy,Crime,Drama"
"tt0027511","nm0003373","Desert Gold","Desert Gold","1936","Action,Comedy,Drama"
"tt0027534","nm0614225","Don't Gamble with Love","Don't Gamble with Love","1936","Drama"
"tt0027541","nm0172485","Doughnuts and Society","Doughnuts and Society","1936","Comedy,Romance"
"tt0027571","nm0782947","Empty Saddles","Empty Saddles","1936","Western"
"tt0027620","nm0287506","Fiordalisi d'oro","Fiordalisi d'oro","1936",NULL
"tt0027634","nm0909398","Foreign Affaires","Foreign Affaires","1935","Comedy"
"tt0027684","nm0368871","Go West Young Man","Go West Young Man","1936","Comedy"
"tt0027756","nm0101466,nm0281487","Hold the Wire","Hold the Wire","1936","Animation,Comedy,Family"
"tt0027758","nm0245213","The Man of the Hour","L'homme du jour","1937","Musical"
"tt0027827","nm0382291","Les jumeaux de Brighton","Les jumeaux de Brighton","1936",NULL
"tt0027843","nm0783461","Killer at Large","Killer at Large","1936","Mystery"
"tt0027857","nm0097074","Kvartetten som sprängdes","Kvartetten som sprängdes","1936",NULL
"tt0027872","nm0253065","As Lavadeiras","As Lavadeiras","1936","Documentary"
"tt0027900","nm0175265","The Littlest Diplomat","The Littlest Diplomat","1937","Adventure,Drama,Musical"
"tt0027946","nm0344583,nm0116331","The Prisoner of Corbal","The Marriage of Corbal","1936","Drama,History,Romance"
"tt0027966","nm0669260","Midnight at the Wax Museum","Midnight at Madame Tussaud's","1936","Crime,Drama,Mystery"
"tt0027996","nm0001008","Mr. Deeds Goes to Town","Mr. Deeds Goes to Town","1936","Comedy,Drama,Romance"
"tt0028036","nm0061850","No me mates","No me mates","1936",NULL
"tt0028042","nm0281487","Not Now","Not Now","1936","Animation,Comedy,Family"
"tt0028074","nm0640248","The Pace That Kills","The Pace That Kills","1935","Crime,Drama"
"tt0028110","nm0281487","Play Safe","Play Safe","1936","Animation,Comedy,Drama"
"tt0028141","nm0000406","The Prisoner of Shark Island","The Prisoner of Shark Island","1936","Biography,Drama,History"
"tt0028151","nm0596410","På solsidan","På solsidan","1936","Drama"
"tt0028218","nm0916125","Santa Fe Bound","Santa Fe Bound","1936","Action,Adventure,Romance"
"tt0028304","nm0869645","Stadt Anatol","Stadt Anatol","1936","Drama"
"tt0028315","nm0782682","Stowaway","Stowaway","1936","Adventure,Family,Musical"
"tt0028359","nm0500552","13 Hours by Air","Thirteen Hours by Air","1936","Action,Comedy,Crime"
"tt0028387","nm0737053","To Catch a Thief","To Catch a Thief","1936","Comedy"
"tt0028481","nm0453245","Wanted! Jane Turner","Wanted! Jane Turner","1936","Action,Adventure,Comedy"
"tt0028587","nm0909825","Artists & Models","Artists & Models","1937","Comedy,Musical"
"tt0028623","nm0782707","Between Two Women","Between Two Women","1937","Drama,Romance"
"tt0028631","nm0921288","Big Town Girl","Big Town Girl","1937","Comedy,Drama"
"tt0028670","nm0003422","Bulldog Drummond's Revenge","Bulldog Drummond's Revenge","1937","Adventure,Mystery"
"tt0028675","nm0825596","Danger in Paris","Cafe Colette","1937","Thriller"
"tt0028679","nm0562845","Call It a Day","Call It a Day","1937","Comedy"
"tt0028724","nm0293989","Clean Pastures","Clean Pastures","1937","Animation,Comedy,Family"
"tt0028732","nm0437356","Come on, Cowboys","Come on, Cowboys","1937","Action,Romance,Western"
"tt0028784","nm0175265","The Devil's Saddle Legion","The Devil's Saddle Legion","1937","Western"
"tt0028846","nm0287988","Fair Warning","Fair Warning","1937","Adventure,Mystery,Western"
"tt0028859","nm0293989","The Fella with the Fiddle","The Fella with the Fiddle","1937","Animation,Comedy,Family"
"tt0028880","nm0484645","Flight from Glory","Flight from Glory","1937","Drama"
"tt0028884","nm0412274","Flådens blå matroser","Flådens blå matroser","1937","Family"
"tt0029054","nm0005847","It Could Happen to You!","It Could Happen to You!","1937","Drama"
"tt0029064","nm0293260","Dark Sands","Jericho","1937","Adventure,Drama,Musical"
"tt0029067","\N","Jogo do Pau","Jogo do Pau","1937","Documentary"
"tt0029126","nm0627864","A Lawman Is Born","A Lawman Is Born","1937","Western"
"tt0029231","nm0268513","Men in Exile","Men in Exile","1937","Crime,Drama,Romance"
"tt0029259","nm0627864","Moonlight on the Range","Moonlight on the Range","1937","Western"
"tt0029280","nm0517005","Mutiny on the Elsinore","The Mutiny of the Elsinore","1937","Action,Adventure,Crime"
"tt0029343","nm0166836","On Again-Off Again","On Again-Off Again","1937","Comedy,Musical"
"tt0029366","nm0170973","Paid to Dance","Paid to Dance","1937","Drama"
"tt0029367","nm0416258,nm0853028,nm0936823","The Painted Stallion","The Painted Stallion","1937","Western"
"tt0029400","nm0000813","Picador Porky","Picador Porky","1937","Animation,Comedy,Family"
"tt0029402","nm0293989","Pigs Is Pigs","Pigs Is Pigs","1937","Animation,Comedy,Family"
"tt0029423","nm0163332","Porky's Badtime Story","Porky's Badtime Story","1937","Animation,Comedy,Family"
"tt0029491","nm0001843","The Road Back","The Road Back","1937","Drama,War"
"tt0029513","nm0317856","Sanidad","Sanidad","1937","Documentary,Short,War"
"tt0029514","nm0216941","Santander para España","Santander para España","1937","Documentary,Short,War"
"tt0029576","nm0062183,nm0906291","Send Home Number 7","Skicka hem Nr. 7","1937","Comedy,Romance"
"tt0029578","nm0166730","Slaves in Bondage","Slaves in Bondage","1937","Crime,Drama"
"tt0029625","nm0543836","Sweetheart of the Navy","Sweetheart of the Navy","1937","Comedy,Musical,Romance"
"tt0029631","nm0782804","I Married for Love","Szerelemböl nösültem","1937","Comedy"
"tt0029659","nm0485647","Thin Ice","Thin Ice","1937","Comedy,Musical,Romance"
"tt0029712","nm0803705","Under the Red Robe","Under the Red Robe","1937","Adventure,Romance"
"tt0029751","nm0000406","Wee Willie Winkie","Wee Willie Winkie","1937","Adventure,Family"
"tt0029776","nm0792450","Wild Horse Rodeo","Wild Horse Rodeo","1937","Western"
"tt0029817","nm0417837,nm0879802","The Broken Jug","Der zerbrochene Krug","1937","Comedy"
"tt0029827","nm0283974","Éxodo","Éxodo","1937","Documentary,Short,War"
"tt0127428","nm0177154,nm0581200","Angkor","Angkor","1935","Adventure"
"tt0127438","\N","Aspectos do Rio Alviela","Aspectos do Rio Alviela","1937","Documentary"
"tt0127442","\N","Através do Algarve","Através do Algarve","1937","Documentary"
"tt0127543","\N","A Estreia de Gala de 'Tempos Modernos' no São Luiz","A Estreia de Gala de 'Tempos Modernos' no São Luiz","1937","Documentary"
"tt0127754","\N","Reguengos de Monsaraz","Reguengos de Monsaraz","1936","Documentary"
"tt0128055","\N","Aspectos da Beira Alta","Aspectos da Beira Alta","1936","Documentary"
"tt0128208","nm0227720","Festa de Homenagem ao Abade de Baçal","Festa de Homenagem ao Abade de Baçal","1936","Documentary"
"tt0129775","nm0656860","Bluebeard","Barbe-Bleue","1936","Animation,Short"
"tt0130085","nm0916125","The Live Wire","The Live Wire","1935","Action,Comedy,Romance"
"tt0130355","nm0656860","Voyage to the Sky","Voyage dans le ciel","1937","Short"
"tt0131420","nm0901874","Heimweh","Heimweh","1937",NULL
"tt0132008","nm0718115","El capitan Tormenta","El capitan Tormenta","1936","Adventure"
"tt0132373","nm0006943","Oh, Duchess!","Oh, Duchess!","1936","Comedy,Short"
"tt0134289","nm0329574","Anything for a Thrill","Anything for a Thrill","1937","Drama"
"tt0135704","\N","Way Down Yonder","Way Down Yonder","1936","Comedy,Musical,Short"
"tt0137815","nm0395023","His Old Flame","His Old Flame","1935","Comedy,Short"
"tt0138081","nm0482742","The Bashful Casanova","Der schüchterne Casanova","1936",NULL
"tt0138754","nm0440261","Roinilan talossa","Roinilan talossa","1935","Comedy,Romance"
"tt0139117","nm0656528","Cigalon","Cigalon","1935","Comedy"
"tt0139360","nm0202899","Helfende Liebe in der Großstadt","Helfende Liebe in der Großstadt","1935","Documentary"
"tt0139650","nm0656528","Topaze","Topaze","1936","Comedy"
"tt0142429","nm0487237","The Keeper of the Lions","The Keeper of the Lions","1937","Animation,Short"
"tt0146634","nm0086772","Dodging the Dole","Dodging the Dole","1936","Musical"
"tt0146743","nm0386785","Fine Feathers","Fine Feathers","1937","Musical"
"tt0147152","\N","Patch Mah Britches","Patch Mah Britches","1935","Animation,Comedy,Short"
"tt0148400","nm0204190","Let's Go","Let's Go","1937","Animation,Fantasy,Short"
"tt0148541","nm0204190","The Novelty Shop","The Novelty Shop","1936","Animation,Short"
"tt0150418","nm0487237","The Dumb Cluck","The Dumb Cluck","1937","Animation,Short"
"tt0151212","nm0330207,nm0205074","Kiko and the Honey Bears","Kiko and the Honey Bears","1936","Animation,Short"
"tt0151258","nm0817662","Krb bez ohne","Krb bez ohne","1937","Comedy,Romance"
"tt0152108","nm0546184","Puttin' Out the Kitten","Puttin' Out the Kitten","1937","Animation,Short"
"tt0152583","nm0805628","Srdce v soumraku","Srdce v soumraku","1936","Drama"
"tt0154590","nm0040892","Hind Mahila","Hind Mahila","1936",NULL
"tt0157453","nm0151543","Chandramohana","Chandramohana","1936",NULL
"tt0158701","nm0161172","Karodpati","Karodpati","1936",NULL
"tt0158812","nm0791788","The Music Maker","The Music Maker","1936","Drama"
"tt0165392","nm0347825","Museum Mystery","Museum Mystery","1937","Crime"
"tt0168801","nm0909398","For Valour","For Valour","1937","Comedy,Drama"
"tt0169683","nm0597597,nm0477743","Le choc en retour","Le choc en retour","1937","Comedy,Romance"
"tt0172458","nm0777706","Flippen's Frolics","Flippen's Frolics","1936","Comedy,Music,Short"
"tt0175163","nm0777706","Show for Sale","Show for Sale","1937","Musical,Short"
"tt0178225","nm0895733","Alegria","Alegria","1937",NULL
"tt0182230","nm0006943","His Last Fling","His Last Fling","1935","Comedy,Short"
"tt0187912","\N","How to Take a Bath","How to Take a Bath","1937","Short"
"tt0188524","nm0207972,nm0419737","Couturier de mon coeur","Couturier de mon coeur","1935","Comedy"
"tt0190993","nm0700259","Bach détective","Bach détective","1936","Drama"
"tt0193324","nm0409965","Los misterios de Buenos Aires","Los misterios de Buenos Aires","1935","Drama,Musical"
"tt0194276","nm0004454","Prends la route","Prends la route","1936",NULL
"tt0196028","nm0316282","La prua incatenata","La prua incatenata","1936","Short"
"tt0197058","nm0913703","Quarrymen","Trhani","1936","Drama"
"tt0201333","nm0925423","Wig-Wag","Wig-Wag","1935","Comedy,Short"
"tt0202277","nm0379092","The Broken Coin","The Broken Coin","1936","Drama"
"tt0205748","nm0167496","L'Arabie interdite","L'Arabie interdite","1937","Short"
"tt0206751","nm0807742","Five Bad Men","Five Bad Men","1935","Music,Western"
"tt0207651","nm0092675,nm0220534,nm0959178","Piernas de seda","Piernas de seda","1935","Comedy"
"tt0210259","nm0056334","Roi de Camargue","Roi de Camargue","1935",NULL
"tt0214633","nm0317308","Do Auraten","Do Auraten","1937",NULL
"tt0215150","nm0006497","Sati Leelavati","Sati Leelavati","1936",NULL
"tt0220558","nm0746740","How to Start the Day","How to Start the Day","1937","Comedy,Short"
"tt0227800","nm0063077","The Wheelwright","The Wheelwright","1935","Documentary,Short"
"tt0228344","nm0869664","The Grand Bounce","The Grand Bounce","1937","Comedy,Drama,Short"
"tt0228647","nm0176472","No matarás","No matarás","1935","Crime,Drama,Romance"
"tt0233453","nm0575963","The Miracle Worker","Chudesnitsa","1936","Comedy"
"tt0234846","nm0525289","Talashe Haq","Talashe Haq","1935",NULL
"tt0234981","nm0706324","Ein verhängnisvolles Geigensolo","Ein verhängnisvolles Geigensolo","1936","Comedy,Short"
"tt0235345","nm0534864","Dil Ka Daku","Dil Ka Daku","1936",NULL
"tt0236482","nm0726193","Great International Heavyweight Boxing Contest Between Joe Louis and Max Schmeling","Great International Heavyweight Boxing Contest Between Joe Louis and Max Schmeling","1936","Documentary,Sport"
"tt0237592","nm0482742","Der König lächelt - Paris lacht","Der König lächelt - Paris lacht","1936","Comedy,Fantasy,Musical"
"tt0239071","nm0557630","Jagat Kesari","Jagat Kesari","1937",NULL
"tt0245349","nm0615480","Pattinathar","Pattinathar","1936","Biography"
"tt0247304","\N","Dr. Todt - Berufung und Werk","Dr. Todt - Berufung und Werk","1935","Biography,Documentary,Short"
"tt0249579","nm0666852","Das Hermännchen. Nee, nee, was es nich' alles gibt","Das Hermännchen. Nee, nee, was es nich' alles gibt","1936",NULL
"tt0250721","nm0794608","Sekret firmy","Sekret firmy","1935",NULL
"tt0252580","nm0667984","Katil Katar","Katil Katar","1935",NULL
"tt0253094","nm0679610,nm0062580","Gangavataran","Gangavataran","1937",NULL
"tt0271041","nm0376221","Little Jack Little & Orchestra","Little Jack Little & Orchestra","1936","Music,Short"
"tt0280769","nm0019328","Indian Northern Frontier","Indian Northern Frontier","1937","Documentary"
"tt0292580","nm0329574","Locks and Bonds","Locks and Bonds","1937","Comedy,Short"
"tt0322921","nm0704613","Town Across the River","Kanggeonneo maeul","1935",NULL
"tt0323475","nm0704613","Oh Mong-nyeo","Oh Mong-nyeo","1937",NULL
"tt0327198","nm0160280","Triple Trouble","Triple Trouble","1936","Comedy,Short"
"tt0337813","nm0433292","Alkohol und Steuerrad","Alkohol und Steuerrad","1937","Comedy,Short"
"tt0349161","nm0945428","Botchan","Botchan","1935",NULL
"tt0352159","nm2165988,nm0474533","Almaz","Almaz","1936",NULL
"tt0359543","nm1346359,nm1597619","Karo","Karo","1937","Adventure,War"
"tt0361321","nm0786038","Asmat Ka Moti","Asmat Ka Moti","1935",NULL
"tt0361946","\N","Nariraj","Nariraj","1936",NULL
"tt0366679","nm0869664","The King Without a Crown","The King Without a Crown","1937","History,Mystery,Short"
"tt0375907","nm0202547","Laheri Jawan","Laheri Jawan","1935",NULL
"tt0379441","\N","Prem Ki Aag","Prem Ki Aag","1936",NULL
"tt0381643","nm0294137","Taking the Count","Taking the Count","1937","Short"
"tt0384899","\N","Cyclewali","Cyclewali","1937",NULL
"tt0420979","\N","Twenty-Five Years a King","Twenty-Five Years a King","1935","Documentary"
"tt0427833","nm1699737","Sen'ninbari","Sen'ninbari","1937",NULL
"tt0435545","nm0460395","Woman at the Crossroads","Zena na rozcesti","1937",NULL
"tt0435744","nm0433292","Sparkasse mit Likör","Sparkasse mit Likör","1937","Short"
"tt0438879","nm2537345","Japan Yinthwe","Japan Yinthwe","1936",NULL
"tt0443060","nm0784577","Issunboshi chibisuke monogatari","Issunboshi chibisuke monogatari","1935","Animation,Short"
"tt0466948","nm0130730","Le roi soldat","Le roi soldat","1937","Documentary,Short"
"tt0480856","nm1351852","Wreckless","Wreckless","1935","Drama,Short"
"tt0484253","nm0793622","The Lights of Asakusa","Asakusa no hi","1937","Drama,Romance"
"tt0486163","nm0769411","UFA-Märchen","UFA-Märchen","1935","Short"
"tt0493939","nm0135054","Torture","Torture","1935","Drama,Mystery,Short"
"tt0494081","nm0349180","Die Heimat im Lied","Die Heimat im Lied","1936","Documentary,Short"
"tt0709369","\N","Hutch","Hutch","1936",NULL
"tt0881270","nm2418834","Kiketsu Manjitarô","Kiketsu Manjitarô","1935","Drama"
"tt0922602","\N","Semarang","Semarang","1937",NULL
"tt0931368","nm0206031","Taku","Taku","1937","Adventure"
"tt0978382","nm0823864","Screen Snapshots Series 15, No. 11","Screen Snapshots Series 15, No. 11","1936","Documentary,Short"
"tt0989626","nm0006943","Choose Your Partners","Choose Your Partners","1935","Comedy,Short"
"tt0996666","nm1779812","Der vertauschte Hund","Der vertauschte Hund","1937","Short"
"tt1008971","nm1954454","Straßen ohne Hindernisse! Ein Film über die Reichsautobahnen","Straßen ohne Hindernisse! Ein Film über die Reichsautobahnen","1935","Short"
"tt1015248","nm0695114","Wilna","Wilna","1936","Short"
"tt1015351","nm0695114","In der Rott","In der Rott","1937","Short"
"tt0003854","nm0170973","Dodge City Trail","Dodge City Trail","1936","Adventure,Music,Western"
"tt0024399","nm0363228","Hatred","Odio","1935",NULL
"tt0024840","nm0708729","Arte, amor y estacazos","Arte, amor y estacazos","1936","Animation"
"tt0025560","nm0285497,nm0913773","Nie miala baba klopotu","Nie miala baba klopotu","1935","Comedy"
"tt0025593","nm0006276","Let's Live Tonight","Let's Live Tonight","1935","Comedy,Music,Romance"
"tt0026009","nm0305740","Y, ahora, una de ladrones","Y, ahora, una de ladrones","1936","Comedy,Short"
"tt0026031","nm0201891","Abasheshe","Abasheshe","1935",NULL
"tt0026056","nm0828419","Alice Adams","Alice Adams","1935","Comedy,Drama,Romance"
"tt0026068","nm0487464","Amor en maniobras","Amor en maniobras","1936","Comedy"
"tt0026074","nm0576940","Anniversary Trouble","Anniversary Trouble","1935","Comedy,Family,Short"
"tt0026092","nm0909825","Baby Face Harrington","Baby Face Harrington","1935","Comedy,Crime"
"tt0026129","nm0562845","Bordertown","Bordertown","1935","Crime,Drama"
"tt0026146","nm0423964","The Surf","Bränningar","1935","Drama"
"tt0026188","nm0303120","Casta diva","Casta diva","1935","Biography,Drama,Music"
"tt0026221","nm0092915","Clive of India","Clive of India","1935","Action,Adventure,Biography"
"tt0026251","\N","Cuenca","Cuenca","1935","Documentary"
"tt0026265","nm0615868","Dark World","Dark World","1935",NULL
"tt0026288","nm0586262","Don Viudo de Rodríguez","Don Viudo de Rodríguez","1936","Comedy,Short"
"tt0026312","nm0743099","Emil and the Detectives","Emil and the Detectives","1935","Adventure,Family"
"tt0026327","nm0132516","Expert's Opinion","Expert's Opinion","1935","Thriller"
"tt0026359","nm0386785","A Fire Has Been Arranged","A Fire Has Been Arranged","1935","Comedy,Crime,Musical"
"tt0026434","\N","A Grande Nicolau","A Grande Nicolau","1936",NULL
"tt0026449","nm0654868","Hakoiri musume","Hakoiri musume","1935",NULL
"tt0026483","nm0597405","Hombres contra hombres","Hombres contra hombres","1937",NULL
"tt0026485","nm0009766,nm0215877","L'homme des Folies Bergère","L'homme des Folies Bergère","1935","Comedy,Musical"
"tt0026495","nm0379092","Hot Off the Press","Hot Off the Press","1935","Drama"
"tt0026508","nm0503777","I Found Stella Parish","I Found Stella Parish","1935","Drama,Romance"
"tt0026515","nm0128724","I've Been Around","I've Been Around","1935","Drama,Romance"
"tt0026543","nm0622843","Janitzio","Janitzio","1935","Drama,Romance"
"tt0026586","nm0734845,nm0403855","Kärlek efter noter","Kärlek efter noter","1935","Comedy"
"tt0026647","nm0212704","Look Up and Laugh","Look Up and Laugh","1935","Comedy,Musical"
"tt0026654","nm0006276","Love Me Forever","Love Me Forever","1935","Drama,Musical,Romance"
"tt0026672","nm0454734","The Man Without a Face","The Man Without a Face","1935","Drama"
"tt0026673","nm0066247","The Man from Guntown","The Man from Guntown","1935","Action,Adventure,Western"
"tt0026712","\N","Midnight on the Prairie","Midnight on the Prairie","1935",NULL
"tt0026723","nm0840042,nm0749484","Mississippi","Mississippi","1935","Comedy,Musical"
"tt0026746","nm0261971,nm0072872,nm0838820,nm0940499","Music Hath Charms","Music Hath Charms","1935","Musical"
"tt0026767","nm0280727","Napoli verde-blu","Napoli verde-blu","1935",NULL
"tt0026872","nm0359457","Pluto's Judgement Day","Pluto's Judgement Day","1935","Animation,Comedy,Family"
"tt0026874","nm0036769","Three Women","Podrugi","1936","Drama,Romance,War"
"tt0026880","nm0137588","Popular Science","Popular Science","1935","Short"
"tt0026885","nm0466135","Posledniy port","Posledniy port","1935",NULL
"tt0026906","nm0005733","Quince minutos en España","Quince minutos en España","1935","Short"
"tt0026933","nm0737053","The Right Age to Marry","The Right Age to Marry","1935","Comedy"
"tt0026951","nm0709864","Der rote Reiter","Der rote Reiter","1935",NULL
"tt0027019","nm0064415","So You Won't Talk","So You Won't Talk","1935","Comedy"
"tt0027064","nm0337586","Sweet Music","Sweet Music","1935","Musical,Romance"
"tt0027128","nm0102908","Trail of Terror","Trail of Terror","1935","Western"
"tt0027201","nm0379092","What Price Crime","What Price Crime","1935","Action,Adventure,Crime"
"tt0027240","nm0297414","Let's Go with Pancho Villa","Vámonos con Pancho Villa!","1936","Drama,War"
"tt0027244","nm0514822","Flight Into Darkness","L'équipage","1935","Drama"
"tt0027273","nm0576940","An All American Toothache","An All American Toothache","1936","Comedy,Short"
"tt0027367","nm0562845,nm0002031","Black Legion","Black Legion","1937","Crime,Drama,Film-Noir"
"tt0027372","nm0437414","Blue Blazes","Blue Blazes","1936","Comedy,Short"
"tt0027452","nm0379092","The Amazing Exploits of the Clutching Hand","The Amazing Exploits of the Clutching Hand","1936","Action,Crime,Mystery"
"tt0027469","nm0454771","The Country Doctor","The Country Doctor","1936","Drama,Romance"
"tt0027473","nm0820461","Crack-Up","Crack-Up","1936","Drama"
"tt0027477","nm0191888","The Crime Patrol","The Crime Patrol","1936","Crime,Drama,Romance"
"tt0027512","nm0404431","Desert Guns","Desert Guns","1936","Western"
"tt0027519","nm0928108","The Devil on Horseback","The Devil on Horseback","1936","Comedy,Musical"
"tt0027529","nm0924901","Disorder in the Court","Disorder in the Court","1936","Comedy,Short"
"tt0027539","nm0257288","Donner, Blitz und Sonnenschein","Donner, Blitz und Sonnenschein","1936",NULL
"tt0027550","nm0220131","Die Drei um Christine","Die Drei um Christine","1936","Comedy"
"tt0027608","nm0737053","Farewell to Cinderella","Farewell to Cinderella","1937",NULL
"tt0027629","nm0780009","Follow Your Heart","Follow Your Heart","1936","Musical"
"tt0027660","nm0541149","The Gay Desperado","The Gay Desperado","1936","Comedy,Musical"
"tt0027670","nm0437356","Ghost-Town Gold","Ghost-Town Gold","1936","Action,Western"
"tt0027764","nm0523893","The House of a Thousand Candles","The House of a Thousand Candles","1936","Action"
"tt0027771","nm0883334","Three Spinsters","Három sárkány","1936","Comedy"
"tt0027792","nm0113954","In His Steps","In His Steps","1936","Drama"
"tt0027802","nm0940499","Irish for Luck","Irish for Luck","1936","Comedy"
"tt0027971","\N","Love Conquers Everything","Milosc wszystko zwycieza","1936",NULL
"tt0028007","nm0909044","Musical Charmers","Musical Charmers","1936","Musical,Short"
"tt0028090","nm0666852","Paul und Pauline","Paul und Pauline","1936",NULL
"tt0028140","nm0384616","Prison Shadows","Prison Shadows","1936","Crime,Drama"
"tt0028180","nm0782947","Ride 'Em Cowboy","Ride 'Em Cowboy","1936","Western"
"tt0028182","nm0916129","Ridin' On","Ridin' On","1936","Western"
"tt0028230","nm0082581","Second Bureau","Deuxième bureau","1935","Drama,Romance"
"tt0028245","nm0454790","Shanghaied Shipmates","Shanghaied Shipmates","1936","Animation,Comedy,Family"
"tt0028274","nm0306599","Tredowata","Tredowata","1936","Drama,Romance"
"tt0028280","nm0245385","Song and Dance Man","Song and Dance Man","1936","Drama,Musical"
"tt0028290","nm0003422","Special Investigator","Special Investigator","1936","Crime,Drama,Romance"
"tt0028384","nm0059106","Timothy's Quest","Timothy's Quest","1936","Comedy,Drama"
"tt0028386","nm0711859","Tisztelet a kivételnek","Tisztelet a kivételnek","1937","Drama"
"tt0028403","nm0281487","Training Pigeons","Training Pigeons","1936","Animation,Comedy,Family"
"tt0028413","nm0739677","The Thirteen","Trinadtsat","1937","Adventure,War"
"tt0028484","nm0127511","We Who Are About to Die","We Who Are About to Die","1937","Crime,Drama"
"tt0028536","nm0105151","Adventure","Äventyret","1936",NULL
"tt0028562","\N","Alas negras","Alas negras","1937","Documentary,Short,War"
"tt0028592","nm0631438","Atlantic Flight","Atlantic Flight","1937","Action,Drama,Romance"
"tt0028599","nm0258015","Back in Circulation","Back in Circulation","1937","Comedy,Drama,Mystery"
"tt0028613","nm0914923","Bashful Ballerina","Bashful Ballerina","1937","Comedy,Short"
"tt0028649","nm0523994","Border Phantom","Border Phantom","1937","Western"
"tt0028739","nm0532561,nm0113284","Conquest","Conquest","1937","Drama,History,Romance"
"tt0028770","nm0282984","Daughter of Shanghai","Daughter of Shanghai","1937","Crime,Drama,Romance"
"tt0028855","nm0737053","Father Steps Out","Father Steps Out","1937","Comedy"
"tt0028881","nm0482742","Florentine","Florentine","1937",NULL
"tt0028953","nm0001843","The Great Garrick","The Great Garrick","1937","Comedy,Romance"
